rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1,ordinal_mae,quadratic_weighted_kappa,severe_error_rate,log_loss,multiclass_brier_score,expected_calibration_error_10_bin
1,DeepSeek V4 Flash 24-shot,0.7208333333333333,0.7774074074074074,0.7505698654305757,0.7143629190632736,0.7746478873239436,0.9166666666666666,0.8396946564885496,0.2833333333333333,0.623782331205912,0.004166666666666667,,,
2,Jina Ordinal,0.6895833333333333,0.7214814814814815,0.7103537472180618,0.6894111475015899,0.7272727272727273,0.8,0.7619047619047619,0.315625,0.5603546659643579,0.005208333333333333,0.6533040527496914,0.40512072747284267,0.01722617599420475
3,Jina Logistic,0.671875,0.7329629629629629,0.6715118723127514,0.6717661020853763,0.5408163265306123,0.8833333333333333,0.6708860759493671,0.3385416666666667,0.5516933322504669,0.010416666666666666,0.6651454869950442,0.42899269394560297,0.036839855154258604
4,RobBERT v2 Improved Ensemble,0.6770833333333334,0.6451851851851852,0.6614718993502503,0.6767544914888125,0.6938775510204082,0.5666666666666667,0.6238532110091743,0.334375,0.49876701068590734,0.011458333333333333,0.6790438615548987,0.43304368484639777,0.08763843547759329
5,TF-IDF Ordinal,0.65,0.6403703703703704,0.6406017382728016,0.6460792452935848,0.6379310344827587,0.6166666666666667,0.6271186440677966,0.3625,0.45173176123802505,0.0125,0.688940260034775,0.44136773501269533,0.03421361313519726
6,Current Production TF-IDF,0.653125,0.6137037037037038,0.6378997585649555,0.6525077005305123,0.7209302325581395,0.5166666666666667,0.6019417475728155,0.3614583333333333,0.4387802824805912,0.014583333333333334,0.721572844347228,0.44617242982953526,0.04698093574176622
7,RobBERT v2 Logistic,0.6354166666666666,0.63,0.6252044314885734,0.6347831626751151,0.5873015873015873,0.6166666666666667,0.6016260162601627,0.37916666666666665,0.4506918899982484,0.014583333333333334,0.7316103504211806,0.4639044536492739,0.08670422155002909
