model,evaluation_basis,rows,accuracy,macro_f1,negative_precision,negative_recall,negative_f1,dutch_macro_f1,english_macro_f1,promote,operational_note
DeepSeek V4 Flash 24-shot,frozen heldout,960,0.7208333333,0.7505698654,0.7746478873,0.9166666667,0.8396946565,0.7656711931,0.5669467787,true,"External API; estimated experiment cost $0.3558; no calibrated probabilities"
Official TF-IDF + LogisticRegression,frozen heldout,960,0.6531250000,0.6378997586,0.7209302326,0.5166666667,0.6019417476,0.6381463625,0.3288657235,true,"Current local production baseline; service p95 11.15 ms"
LogisticRegression C=0.5,5-fold training CV/OOF,3838,0.6722270888,0.6535762247,,,0.6128266033,0.6574713584,0.2827473669,false,"Did not clear predeclared promotion threshold; holdout not evaluated"
LinearSVC C=0.5,5-fold training CV/OOF,3838,0.6623295578,0.6324756109,,,0.5667574932,0.6381821172,0.3180881234,false,"No native probabilities; holdout not evaluated"
Frozen Dutch RoBERT sentence embeddings + LR,5-fold training CV/OOF,3838,0.5682597240,0.5165353447,0.2614840989,0.6166666667,0.3672456576,0.5144200332,0.3884495298,false,"Failed macro-F1 precision and accuracy gates; holdout not evaluated"
